Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Archer,,8.6,Animation,2009– ,22m,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,Aisha Tyler,Jessica Walter,Lucky Yates,Adam Reed,Dave Willis,George Coe,Tom Kane,Kayvan Novak,Christian Slater,Maggie Wheeler,Stephen Tobolowsky,Jeffrey Tambor,Peter Newman,Leigh Jackson",TV-MA,United States
Adventure Time,,8.6,Animation,2010–2018,11m,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland",TV-PG,United States
Demon Slayer: Kimetsu no Yaiba,Kimetsu no Yaiba,8.7,Animation,2019– ,24m,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae,Zach Aguilar,Yoshitsugu Matsuoka,Abby Trott,Aleks Le,Bryce Papenbrook,Hiro Shimono,Akari Kitô,Shinya Takahashi,Ray Chase,Katsuyuki Konishi,Doug Erholtz,Erica Lindbeck,Johnny Yong Bosch,Brook Chalmers,Takahiro Sakurai,Takumi Yamazaki,Saori Hayami",TV-MA,Japan
Lonesome Dove,,8.7,Adventure,1989,384m,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Robert Duvall,Tommy Lee Jones,Danny Glover,Diane Lane,Robert Urich,Frederic Forrest,D.B. Sweeney,Ricky Schroder,Anjelica Huston,Chris Cooper,Timothy Scott,Glenne Headly,Barry Corbin,William Sanderson,Barry Tubb,Gavan O'Herlihy,Steve Buscemi,Frederick Coffin",TV-14,United States
Ramayan,,9.0,Adventure,1987–1988,30m,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,Dara Singh Randhawa,Sanjay Jog,Sameer Rajda,Shyamsundar Kalani,Vijay Arora,Bal Dhuri,Jayshree Gadkar,Padma Khanna,Rajni Bala,Mukesh Rawal,Nalin Dave,Aparajita,Lalita Pawar,Renu Dhariwal",TV-14,India
It's a Sin,,8.7,Comedy,2021,239m,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.","Olly Alexander,Nathaniel Curtis,Shaun Dooley,Omari Douglas,Lydia West,Keeley Hawes,Neil Ashton,Callum Scott Howells,Toto Bruin,David Carlyle,Tracy-Ann Oberman,Delroy Brown,Shaniqua Okwok,Michelle Greenidge,Andria Doherty,Paul Candelent,Stephen Fry,Ken Christiansen",TV-MA,United Kingdom
Monster,,8.7,Animation,2004–2005,24m,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,"Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,Nozomu Sasaki,Tsutomu Isobe,Richard Epcar,Junko Takeuchi,Keith Silverstein,Ichirô Nagai,Mami Koyama,Tara Platt,Michael McConnohie,Paul St. Peter,Takayuki Sugô,Hideyuki Tanaka,Laura Bailey,Patrick Seitz",TV-14,Japan
Daredevil,,8.6,Action,2015–2018,54m,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,Royce Johnson,Geoffrey Cantor,Jay Ali,Jon Bernthal,Stephen Rider,Wilson Bethel,Ayelet Zurer,Peter McRobbie,Amy Rutberg,Elodie Yung,Toby Leonard Moore,Joanne Whalley,Vondie Curtis-Hall,Bob Gunton",TV-MA,United States
The Bridge,Bron/Broen,8.6,Crime,2011–2018,1h,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Sofia Helin,Rafael Pettersson,Sarah Boberg,Dag Malmberg,Kim Bodnia,Puk Scharbau,Thure Lindhardt,Lars Simonsen,Gabriel Flores Jair,Henrik Lundström,Maria Kulle,Julie Carlsen,Emil Birk Hartmann,Anette Lindbäck,Said William Legue,Kristina Brändén Whitaker,Lotte Munk,Vickie Bak Laursen",TV-MA,Sweden
Blackadder II,,8.6,Comedy,1986,176m,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.","Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Miriam Margolyes,Ronald Lacey,Tom Baker,Gabrielle Glaister,Holly De Jong,Rik Mayall,Simon Jones,Bill Wallis,Cassie Stuart,Max Harvey",TV-PG,United Kingdom
Critical Role,,9.3,Adventure,2015– ,3h,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","Matthew Mercer,Liam O'Brien,Marisha Ray,Laura Bailey,Sam Riegel,Taliesin Jaffe,Travis Willingham,Ashley Johnson,Zachary K. Eubank,Orion Acaba,Brian W. Foster,Robbie Daymond,Mary Elizabeth McGlynn,Erika Ishii,Ashly Burch,Will Friedle,Ryan Green,Aabria Iyengar",TV-14,United States
Code Geass,Hangyaku no Lelouch,8.7,Animation,2006–2008,24m,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler",TV-14,Japan
Primal,,8.7,Animation,2019– ,22m,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,"Aaron LaPlante,Laëtitia Eïdo,Fred Tatasciore,Imari Williams,Amina Koroma,Hillary Hawkins,Tom Kenny,Jon Olson,Amanda Troop,Jacob Dudman,Adam Fergus,MyAnna Buring,Dave Fennoy,Giles Matthey,Darin De Paul,Ike Amadi,Jeremy Crutchley,Noah Kaye Bentley",TV-MA,United States
Bleach: Thousand-Year Blood War,Sennen Kessen-hen,9.0,Animation,2022– ,24m,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Masakazu Morita,Johnny Yong Bosch,Takayuki Sugô,Richard Epcar,Ryûsei Nakao,Aleks Le,Karen Strassman,Neil Kaplan,Terrence Stone,Binbin Takaoka,Akio Ôtsuka,Yûichirô Umehara,Robbie Daymond,Stephanie Sheh,Doug Erholtz,Steve Kramer,Christopher Swindle,Kentarô Itô",TV-MA,Japan
The Jinx: The Life and Deaths of Robert Durst,,8.6,Documentary,2015,279m,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.","Andrew Jarecki,Robert Durst,Gary Napoli,Jeanine Pirro,Dick DeGuerin,Kevin J. Hynes,Michael Simon Hall,Debra Kay Anderson,Chelsea Gonzalez,Jeszenia Jimenez,Marc Smerling,Susan Berman,Alexander Norton,Cody Cazalas,Charles Bagli,Sareb Kaufman,Gilberte Najamy,Ellen Strauss",TV-14,United States
Naruto: Shippuden,Shippûden,8.7,Animation,2007–2017,24m,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama",TV-PG,Japan
Atlanta,,8.6,Comedy,2016–2022,30m,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Tobias Segal,Austin Elle Fisher,Adriyan Rae,Katt Williams,Isiah Whitlock Jr.,Cranston Johnson,Griffin Freeman,Hugh Coles,Derrick J. Haywood",TV-MA,United States
Dexter,,8.7,Crime,2006–2013,53m,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.","Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Dana L. Wilson,Yvonne Strahovski,David Ramsey",TV-MA,United States
The X-Files,The X Files,8.6,Crime,1993–2018,45m,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,Robert Patrick,Tom Braidwood,Bruce Harwood,Dean Haglund,Annabeth Gish,Nicholas Lea,James Pickens Jr.,Sheila Larken,Chris Owens,Don S. Williams,Steven Williams,Jerry Hardin,Laurie Holden,Rebecca Toolan",TV-14,United States
Parks and Recreation,,8.6,Comedy,2009–2015,22m,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",TV-14,United States
This Is Us,,8.7,Comedy,2016–2022,45m,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Hannah Zeile,Niles Fitch,Logan Shroyer,Mackenzie Hancsicsak,Parker Bates,Lyric Ross,Lonnie Chavis,Caitlin Thompson",TV-14,United States
Deadwood,,8.6,Crime,2004–2006,55m,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.","Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver",TV-MA,United States
Father Ted,,8.7,Comedy,1995–1998,25m,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.","Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Jon Kenny",TV-14,United Kingdom
Behzat Ç.: Bir Ankara Polisiyesi,,8.9,Crime,2010–2019,90m,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats.","Erdal Besikçioglu,Inanç Konukçu,Ege Aydan,Berkan Sal,Mustafa Balci,Ayça Eren,Fatih Artman,Seda Bakan,Eray Eserol,Berke Üzrek,Zeynep Koltuk,Canan Erguder,Hakan Hatipoglu,Elvin Besikcioglu,Nejat Isler,Güven Kiraç,Pelinsu Pir,Ayca Varlier",TV-14,Turkey
Aspirants,,9.2,Drama,2021– ,,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,Akdas Hayat,Lokesh Kumar Aggarwal,Namita Dubey,Kuljeet Singh,Bijou Thaangjam,Neetu Jhanjhi,Nupur Nagpal,Darius Chinoy,Udit Kulshrestha,Rahul Bharadwaj,Arpit Bhatia,Preeti Agarwal Mehta,Raksha Kumawat,Shivam Kakar",,India
Mahabharat,,9.0,Adventure,1988–1990,45m,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.","Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,Praveen Kumar Sobti,Feroz Khan,Roopa Ganguly,Puneet Issar,Pankaj Dheer,Gufi Paintal,Girija Shankar,Surendra Pal,Renuka Israni,Nazneen,Virendra Razdan,Vinod Kapoor,Sameer Chitre,Sanjeev Chitre",TV-14,India
The Crown,,8.6,Biography,2016–2023,58m,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,"Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Dominic West,Lesley Manville,Charles Edwards,Elizabeth Debicki,Jonathan Pryce,Vanessa Kirby,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Pip Torrens,Sam Phillips,Erin Doherty,Will Keen",TV-MA,United Kingdom
Line of Duty,,8.7,Crime,2012–2021,1h,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,Gregory Piper,Aiysha Hart,Maya Sondhi,Keeley Hawes,Nigel Boyle,Polly Walker,Paul Higgins,Anneika Rose,Neil Morrissey,Tomi May,Ace Bhatti,Elizabeth Rider,Owen Teale,Kelly Macdonald",TV-14,United Kingdom
The Thick of It,,8.7,Comedy,2005–2012,29m,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,"Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Lucinda Raikes,Chris Langham,Justin Edwards,Tony Gardner,Samantha Harrington,Geoffrey Streatfeild,Alex Macqueen",TV-MA,United Kingdom
1883,,8.7,Drama,2021–2022,1h,Follows the Dutton family as they embark on a journey west.,"Sam Elliott,Tim McGraw,Faith Hill,Isabel May,LaMonica Garrett,Marc Rissmann,Audie Rick,James Landry Hébert,Gratiela Brancusi,Anna Fiamora,Malcolm Stephenson,Amanda Jaros,Jordan Walker Ross,Stephen Austin Long,Konstantin Melikhov,Eric Nelsen,Noah Le Gros,Josef Bette",TV-MA,United States
Justice League Unlimited,,8.7,Animation,2004–2006,23m,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe",TV-Y7-FV,United States
Top Gear,,8.7,Adventure,2002– ,1h,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Andrew Flintoff,Paddy McGuinness,Matt LeBlanc,Rory Reid,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton,Eddie Jordan",TV-PG,United Kingdom
House of Cards,,8.7,Drama,2013–2018,51m,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",TV-MA,United States
The Grand Tour,,8.7,Comedy,2016– ,1h,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,Mike Skinner,Simon Pegg,David Hasselhoff,Kiefer Sutherland,Paris Hilton,Jimmy Carr,John Surtees,Johan Ackermann,Jérôme d'Ambrosio,Tim Burton,Roger Daltrey,Michael Ball,Ricky Wilson,Casey Anderson",TV-14,United Kingdom
Friday Night Lights,,8.7,Drama,2006–2011,44m,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague",TV-14,United States
Berserk,Kenpuu Denki Berserk,8.7,Animation,1997–1998,23m,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.","Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins,Unshô Ishizuka,Carla Tassara,Jon Avner,Yûko Miyamura,Akira Ishida,Tomohiro Nishimura,Toshiyuki Morikawa,Christopher Kromer,Akiko Yajima,Marc Sebastian,Masuo Amada,Jeff Ward,Michelle Newman,Eiji Sekiguchi",TV-MA,Japan
The Marvelous Mrs. Maisel,,8.7,Comedy,2017–2023,57m,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?","Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Kevin Pollak,Matilda Szydagis,Caroline Aaron,Matteo Pascale,Joel Johnstone,Nunzio Pascale,Bailey De Young,Brian Tarantina,Luke Kirby,Cynthia Darlow,Jane Lynch,Stephanie Hsu,Reid Scott",TV-MA,United States
The Adventures of Sherlock Holmes,,8.7,Crime,1984–1985,1h,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,Gayle Hunnicutt,Jeremy Kemp,Rosalind Knight,Norman Jones,David Gwillim,Barbara Wilshere,Tenniel Evans,Joss Ackland,Nicholas Clay,Charles Gray,Rosalie Crutchley,Roger Hammond,Betsy Brantley,Wolf Kahler",TV-PG,United Kingdom
Star Trek: The Next Generation,,8.7,Action,1987–1994,44m,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,Marina Sirtis,Michael Dorn,Gates McFadden,Majel Barrett,Wil Wheaton,Colm Meaney,James G. Becker,Denise Crosby,Whoopi Goldberg,Diana Muldaur,Patti Yasutake,Dennis Madalone,Michelle Forbes,Rosalind Chao",TV-PG,United States
Sarabhai V/S Sarabhai,,9.0,Comedy,2004–2017,30m,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.","Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Arvind Vaidya,Deven Bhojani,Ghanshyam Nayak,Shilpa Mehta,Rita Bhaduri,Amit Soni,Sheetal Thakkar,Vaibhavi Upadhyaya,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Bhamini Oza",TV-PG,India
Peep Show,,8.7,Comedy,2003–2015,25m,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",TV-MA,United Kingdom
Mad Men,,8.7,Drama,2007–2015,47m,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm",TV-MA,United States
Stranger Things,,8.7,Drama,2016–2024,51m,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Noah Schnapp,Cara Buono,Priah Ferguson,Sadie Sink,Paul Reiser,Maya Hawke,Brett Gelman,Joe Chrest,Dacre Montgomery",TV-14,United States
Invincible,,8.7,Animation,2021– ,50m,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Melise,Ross Marquand,Chris Diamantopoulos,Max Burkholder,Mark Hamill,Seth Rogen",TV-MA,United States
Severance,,8.7,Drama,2022– ,55m,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette,Merritt Wever,Gwendoline Christie,Alia Shawkat,John Noble,Ólafur Darri Ólafsson,Robby Benson,Bob Balaban,Stefano Carannante",TV-MA,United States
Vinland Saga,,8.8,Animation,2019– ,24m,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,"Yûto Uemura,Alejandro Saab,Mike Haimoto,Aleks Le,Michael C. Pizzuto,Kaiji Tang,Kira Buckland,Tony Oliver,Kirk Thornton,Jamieson Price,Frank Todaro,Naoya Uchida,Keith Silverstein,Patrick Seitz,J. Michael Tatum,Kellen Goff,Kyle Hebert,Griffin Burns",TV-MA,Japan
Downton Abbey,,8.7,Drama,2010–2015,58m,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Siobhan Finneran,Dan Stevens",TV-PG,United Kingdom
Panchayat,,8.9,Comedy,2020– ,35m,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,Neena Gupta,Sanvikaa,Durgesh Kumar,Biswapati Sarkar,Subhendu Chakraborty,Sushil Tandon,Govind Lobhani,Mubarak Khan,Kamal Rai,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya",TV-14,India
House,House M.D.,8.7,Drama,2004–2012,44m,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Odette Annable,Charlyne Yi,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward",TV-14,United States
